order_id,order_date,orig_port_cd,dest_port_cd,carrier,plant_code,customer,product_id,unit_quantity,weight,tpt,svc_cd,ship_ahead_day_count,ship_late_day_count,is_on_time,is_late,is_early,mode_dsc,carrier_type,minimum_cost,rate,freight_cost_est,daily_capacity,wh_cost_per_unit
1447242378.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555555_5,1682805,1776,128.87246219934863,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0424,5.464192397252382,1013,0.5175018916254618
1447242379.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555555_5,1682805,819,46.25323613976117,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,2.2386566291644407,1013,0.5175018916254618
1447242469.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V5555555_12,1658528,347,1.146547477880142,2,DTP,3,0,True,False,True,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447242483.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V555555555_27,1683200,529,5.1351410934744255,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447242486.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V555555_6,1649002,261,0.1428773251707087,2,DTP,3,0,True,False,True,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447242487.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V555555_6,1660885,251,0.0882530374264867,2,DTP,3,0,True,False,True,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447242499.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1675654,2278,16.06,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447242500.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_4,1660153,353,5.481909160892996,2,DTP,3,0,True,False,True,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447242501.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_4,1653588,551,33.88,2,DTP,3,0,True,False,True,AIR   ,V88888888_0,1.4992,0.0484,1.6397920000000001,1013,0.5175018916254618
1447242502.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_4,1688633,307,1.8556861491288967,2,DTP,3,0,True,False,True,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447242503.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_4,1672110,355,4.953940776979234,2,DTP,3,0,True,False,True,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447242712.7,2013-05-26,PORT04,PORT09,V444_1,PLANT03,V555555555555555555_17,1676853,1276,2.6416254469548304,1,DTD,1,0,True,False,True,AIR   ,V888888883_1,1.202,0.2019999999999999,1.202,1013,0.5175018916254618
1447242877.7,2013-05-26,PORT04,PORT09,V44_3,PLANT03,V55555555_32,1699268,1454,2.653359698893519,0,CRF,3,0,True,False,True,,,,,,1013,0.5175018916254618
1447242878.7,2013-05-26,PORT04,PORT09,V44_3,PLANT03,V55555555_32,1699268,2108,3.980039548340279,0,CRF,3,0,True,False,True,,,,,,1013,0.5175018916254618
